step,elapsed_ms,loss,lr,tokens,tokens_per_sec,timestamp
1,805.8,1.295925,3.13e-06,2048,2541.57,1787760157.215
2,112.093,1.241619,6.25e-06,2048,18270.59,1787760157.329
3,119.706,1.215922,9.37e-06,2048,17108.64,1787760157.45
4,120.419,1.283311,1.25e-05,2048,17007.34,1787760157.571
5,115.301,1.390895,1.563e-05,2048,17762.19,1787760157.687
6,120.722,1.275313,1.875e-05,2048,16964.61,1787760157.809
7,111.398,1.334129,2.187e-05,2048,18384.53,1787760157.922
8,115.165,1.27819,2.5e-05,2048,17783.13,1787760158.038
9,128.75,1.226852,2.813e-05,2048,15906.76,1787760158.168
10,112.514,1.220349,3.125e-05,2048,18202.21,1787760158.281
11,134.447,1.298472,3.438e-05,2048,15232.76,1787760158.417
12,154.325,1.279611,3.75e-05,2048,13270.69,1787760158.573
13,133.563,1.216925,4.063e-05,2048,15333.56,1787760158.708
14,119.759,1.262858,4.375e-05,2048,17101.07,1787760158.829
15,122.633,1.293661,4.688e-05,2048,16700.18,1787760158.952
16,136.093,1.277776,5e-05,2048,15048.5,1787760159.089
17,123.874,1.260597,5.312e-05,2048,16532.92,1787760159.214
18,133.161,1.238293,5.625e-05,2048,15379.84,1787760159.349
19,117.606,1.190749,5.937e-05,2048,17414.14,1787760159.468
20,115.203,1.234114,6.25e-05,2048,17777.24,1787760159.584
21,112.939,1.193396,6.563e-05,2048,18133.68,1787760159.698
22,123.653,1.173778,6.875e-05,2048,16562.53,1787760159.823
23,111.239,1.169402,7.187e-05,2048,18410.73,1787760159.935
24,125.032,1.154171,7.5e-05,2048,16379.74,1787760160.062
25,124.059,1.129618,7.813e-05,2048,16508.3,1787760160.186
26,133.884,1.181625,8.125e-05,2048,15296.87,1787760160.321
27,107.205,1.270956,8.438e-05,2048,19103.66,1787760160.43
28,116.891,1.201466,8.75e-05,2048,17520.6,1787760160.548
29,112.993,1.020688,9.062e-05,2048,18124.98,1787760160.661
30,116.922,1.088645,9.375e-05,2048,17516.0,1787760160.78
31,111.234,1.132035,9.688e-05,2048,18411.7,1787760160.892
