step,elapsed_ms,loss,lr,tokens,tokens_per_sec,timestamp
1,309.634,1.294749,3.13e-06,2048,6614.26,1787760637.405
2,595.212,1.249256,6.25e-06,2048,3440.79,1787760638.002
3,361.052,1.259879,9.37e-06,2048,5672.31,1787760638.365
4,328.812,1.234974,1.25e-05,2048,6228.49,1787760638.695
5,330.112,1.216761,1.563e-05,2048,6203.96,1787760639.027
6,265.448,1.23064,1.875e-05,2048,7715.25,1787760639.295
7,265.039,1.21948,2.187e-05,2048,7727.18,1787760639.562
8,246.963,1.304065,2.5e-05,2048,8292.73,1787760639.811
9,306.7,1.280105,2.813e-05,2048,6677.55,1787760640.119
10,252.191,1.214267,3.125e-05,2048,8120.85,1787760640.373
11,249.498,1.207792,3.438e-05,2048,8208.48,1787760640.625
12,240.669,1.267452,3.75e-05,2048,8509.61,1787760640.867
13,307.414,1.243799,4.063e-05,2048,6662.02,1787760641.177
14,312.263,1.183515,4.375e-05,2048,6558.57,1787760641.491
15,272.064,1.28949,4.688e-05,2048,7527.65,1787760641.765
16,286.231,1.264707,5e-05,2048,7155.06,1787760642.053
17,297.873,1.233432,5.312e-05,2048,6875.42,1787760642.353
18,285.078,1.257692,5.625e-05,2048,7184.0,1787760642.64
19,284.739,1.164525,5.937e-05,2048,7192.55,1787760642.927
20,258.956,1.197105,6.25e-05,2048,7908.68,1787760643.188
21,232.004,1.142444,6.563e-05,2048,8827.44,1787760643.422
22,289.266,1.208922,6.875e-05,2048,7080.0,1787760643.714
23,214.142,1.225057,7.187e-05,2048,9563.73,1787760643.929
24,261.414,1.143192,7.5e-05,2048,7834.33,1787760644.192
25,242.656,1.064731,7.813e-05,2048,8439.93,1787760644.437
26,269.547,1.148982,8.125e-05,2048,7597.94,1787760644.708
27,294.146,1.11929,8.438e-05,2048,6962.54,1787760645.005
28,284.457,1.061871,8.75e-05,2048,7199.67,1787760645.291
29,314.575,1.088953,9.062e-05,2048,6510.36,1787760645.607
30,322.629,1.070428,9.375e-05,2048,6347.84,1787760645.932
31,301.281,1.092298,9.688e-05,2048,6797.64,1787760646.235
32,255.459,0.890733,0.0001,2048,8016.95,1787760646.493
33,242.373,1.113362,0.00010312,2048,8449.78,1787760646.737
34,323.437,1.09199,0.00010625,2048,6331.98,1787760647.062
35,286.868,0.991556,0.00010938,2048,7139.16,1787760647.352
36,279.362,0.996828,0.0001125,2048,7330.98,1787760647.633
37,264.163,0.914146,0.00011563,2048,7752.8,1787760647.9
38,254.703,0.863894,0.00011875,2048,8040.75,1787760648.156
39,346.474,0.883038,0.00012187,2048,5910.98,1787760648.504
40,220.731,1.145213,0.000125,2048,9278.27,1787760648.728
41,251.304,0.967127,0.00012812,2048,8149.48,1787760648.981
42,265.501,0.781114,0.00013125,2048,7713.73,1787760649.249
43,284.765,0.963928,0.00013438,2048,7191.88,1787760649.535
44,309.622,0.73656,0.0001375,2048,6614.51,1787760649.848
45,423.346,0.890494,0.00014063,2048,4837.65,1787760650.273
46,337.067,0.773589,0.00014375,2048,6075.94,1787760650.611
47,307.419,1.051921,0.00014688,2048,6661.93,1787760650.921
48,355.018,0.917199,0.00015,2048,5768.72,1787760651.278
49,452.789,0.759463,0.00015313,2048,4523.08,1787760651.733
50,318.3,0.952145,0.00015625,2048,6434.19,1787760652.053
51,288.891,0.777743,0.00015937,2048,7089.18,1787760652.344
52,355.783,0.844081,0.0001625,2048,5756.32,1787760652.701
53,436.537,0.708268,0.00016563,2048,4691.46,1787760653.14
54,275.938,0.621275,0.00016875,2048,7421.96,1787760653.418
55,446.407,0.677045,0.00017187,2048,4587.74,1787760653.867
56,236.901,0.8973,0.000175,2048,8644.96,1787760654.106
57,240.611,0.832004,0.00017813,2048,8511.68,1787760654.349
58,225.354,0.779258,0.00018125,2048,9087.93,1787760654.576
59,378.925,0.644456,0.00018438,2048,5404.76,1787760654.957
60,661.217,0.711677,0.0001875,2048,3097.32,1787760655.62
61,451.031,0.781112,0.00019062,2048,4540.7,1787760656.073
62,477.615,0.733417,0.00019375,2048,4287.98,1787760656.553
63,364.524,0.613249,0.00019688,2048,5618.28,1787760656.919
64,263.827,0.542649,0.0002,2048,7762.65,1787760657.184
65,880.606,0.703492,0.00020313,2048,2325.67,1787760658.067
66,457.027,0.576277,0.00020625,2048,4481.14,1787760658.526
67,489.052,0.683976,0.00020938,2048,4187.69,1787760659.017
68,1516.701,0.468614,0.0002125,2048,1350.3,1787760660.536
69,808.021,0.561922,0.00021563,2048,2534.59,1787760661.346
70,1241.693,0.450523,0.00021875,2048,1649.36,1787760662.59
71,472.127,0.57868,0.00022187,2048,4337.81,1787760663.064
72,261.953,0.570618,0.000225,2048,7818.18,1787760663.327
73,317.298,0.601564,0.00022813,2048,6454.5,1787760663.647
74,221.96,0.647616,0.00023125,2048,9226.87,1787760663.871
75,265.244,0.415621,0.00023437,2048,7721.2,1787760664.138
76,418.024,0.53761,0.0002375,2048,4899.24,1787760664.558
77,373.231,0.350382,0.00024063,2048,5487.21,1787760664.933
78,574.88,0.683462,0.00024375,2048,3562.48,1787760665.51
79,367.066,0.683865,0.00024688,2048,5579.38,1787760665.879
80,612.01,0.506673,0.00025,2048,3346.35,1787760666.493
81,619.415,0.592059,0.00025312,2048,3306.35,1787760667.114
82,653.563,0.414823,0.00025625,2048,3133.59,1787760667.77
83,649.82,0.433896,0.00025938,2048,3151.64,1787760668.421
84,984.753,0.494648,0.0002625,2048,2079.71,1787760669.408
85,854.929,0.373353,0.00026563,2048,2395.52,1787760670.265
86,275.936,0.365081,0.00026875,2048,7422.0,1787760670.543
87,349.345,0.397242,0.00027187,2048,5862.41,1787760670.895
88,293.959,0.355658,0.000275,2048,6966.95,1787760671.19
89,495.156,0.500694,0.00027812,2048,4136.07,1787760671.688
90,611.957,0.532355,0.00028125,2048,3346.64,1787760672.302
91,685.164,0.352058,0.00028438,2048,2989.07,1787760672.99
92,595.465,0.321568,0.0002875,2048,3439.33,1787760673.586
93,322.092,0.38025,0.00029063,2048,6358.43,1787760673.91
94,249.862,0.465754,0.00029375,2048,8196.52,1787760674.163
95,236.73,0.333723,0.00029687,2048,8651.22,1787760674.4
96,378.354,0.33902,0.0003,2048,5412.92,1787760674.78
97,401.866,0.290424,0.00030313,2048,5096.22,1787760675.185
98,361.545,0.263223,0.00030625,2048,5664.58,1787760675.549
99,349.881,0.266719,0.00030938,2048,5853.43,1787760675.9
100,312.925,0.261675,0.0003125,2048,6544.71,1787760676.216
101,583.264,0.239069,0.00031562,2048,3511.28,1787760676.8
102,295.214,0.241216,0.00031875,2048,6937.34,1787760677.098
103,636.897,0.248538,0.00032188,2048,3215.59,1787760677.737
104,378.374,0.244769,0.000325,2048,5412.64,1787760678.117
105,402.653,0.220346,0.00032813,2048,5086.26,1787760678.521
106,454.982,0.235191,0.00033125,2048,4501.28,1787760678.978
107,251.327,0.205824,0.00033437,2048,8148.73,1787760679.232
108,341.009,0.199293,0.0003375,2048,6005.72,1787760679.575
109,266.311,0.213321,0.00034062,2048,7690.25,1787760679.843
110,236.383,0.200744,0.00034375,2048,8663.92,1787760680.081
111,232.838,0.178605,0.00034688,2048,8795.82,1787760680.317
112,439.754,0.21968,0.00035,2048,4657.15,1787760680.758
113,369.642,0.196948,0.00035313,2048,5540.5,1787760681.129
114,674.971,0.221727,0.00035625,2048,3034.2,1787760681.807
115,292.567,0.201443,0.00035937,2048,7000.11,1787760682.101
116,295.56,0.173062,0.0003625,2048,6929.22,1787760682.398
117,561.235,0.235116,0.00036563,2048,3649.1,1787760682.962
118,562.352,0.182907,0.00036875,2048,3641.85,1787760683.526
119,226.745,0.21042,0.00037188,2048,9032.19,1787760683.755
120,278.947,0.146178,0.000375,2048,7341.89,1787760684.035
121,247.263,0.193359,0.00037812,2048,8282.69,1787760684.284
122,217.94,0.223821,0.00038125,2048,9397.07,1787760684.505
123,348.638,0.155339,0.00038438,2048,5874.29,1787760684.855
124,238.74,0.14792,0.0003875,2048,8578.37,1787760685.096
125,247.81,0.139967,0.00039063,2048,8264.39,1787760685.345
