"source_path","evidence_path","size_bytes","sha256","scientific_status","source_commit","archive_url"
"runs/phase28_counterfactual_discourse_v1/registration.json","docs/evidence/records/phase28_counterfactual_discourse_v1/registration.json","672","7c5a14f2a7a6845af2e3599f64da90ff31584f58add4bb53e8e9a003ce3fd865","historical","4990ba4","https://media.lbsa71.net/LCE/runs/phase28_counterfactual_discourse_v1/registration.json"
"runs/phase28_counterfactual_discourse_v1/screen_analysis.json","docs/evidence/records/phase28_counterfactual_discourse_v1/screen_analysis.json","1699","a36b1c3d301d72a0b7ddc00bb7b54c7aa152a618782aa89e738d24a7dbf32ef2","historical","4990ba4","https://media.lbsa71.net/LCE/runs/phase28_counterfactual_discourse_v1/screen_analysis.json"
"runs/phase28_counterfactual_discourse_v1/screen_results.json","docs/evidence/records/phase28_counterfactual_discourse_v1/screen_results.json","12229","4594aee0d49744c7cad8fc0b247d47166701b0375d68a510a2b8c25202c6d248","historical","4990ba4","https://media.lbsa71.net/LCE/runs/phase28_counterfactual_discourse_v1/screen_results.json"
"runs/phase28_counterfactual_discourse_v1/split_manifests.json","docs/evidence/records/phase28_counterfactual_discourse_v1/split_manifests.json","1244","058b78aaf618aa41e14cb60c7e8439046fa4ee4184b8380a59b784c4160068ba","historical","4990ba4","https://media.lbsa71.net/LCE/runs/phase28_counterfactual_discourse_v1/split_manifests.json"
"runs/phase29_discourse_augmentation_v1/registration.json","docs/evidence/records/phase29_discourse_augmentation_v1/registration.json","1466","f5cffc7518a0f5f16425e370bbe1d04492d282f4d5642312037bacc4987d9d95","historical","4990ba4","https://media.lbsa71.net/LCE/runs/phase29_discourse_augmentation_v1/registration.json"
"runs/phase29_discourse_augmentation_v1/screen_analysis.json","docs/evidence/records/phase29_discourse_augmentation_v1/screen_analysis.json","5325","22125ba7d9eaec17e74006b7a638a5fb0bca08cf675391b6345fe0972d53dd79","historical","4990ba4","https://media.lbsa71.net/LCE/runs/phase29_discourse_augmentation_v1/screen_analysis.json"
"runs/phase29_discourse_augmentation_v1/screen_results.json","docs/evidence/records/phase29_discourse_augmentation_v1/screen_results.json","24625","68db3b958d523f20ed4842548e0ae87bb37b3daa64831580be149e5cb857bb60","historical","4990ba4","https://media.lbsa71.net/LCE/runs/phase29_discourse_augmentation_v1/screen_results.json"
"runs/phase29_discourse_augmentation_v1/split_manifests.json","docs/evidence/records/phase29_discourse_augmentation_v1/split_manifests.json","2439","8e8e88d66061fab8745ee467eee3bdabd632f99158f6c47aecff67efff51c105","historical","4990ba4","https://media.lbsa71.net/LCE/runs/phase29_discourse_augmentation_v1/split_manifests.json"
"runs/phase3_scaling_stage_a_r356_v1/results.json","docs/evidence/records/phase3_scaling_stage_a_r356_v1/results.json","13947","67cbb296a2578fb30d03a45cd6a93b919c55e9ed795d426e9c0f924fd9e858d1","superseded","4990ba4","https://media.lbsa71.net/LCE/runs/phase3_scaling_stage_a_r356_v1/results.json"
"runs/phase3_scaling_stage_b_r889_v1/full_curve_analysis.json","docs/evidence/records/phase3_scaling_stage_b_r889_v1/full_curve_analysis.json","15403","b7693aa9d663d0fcbcf18fd2b72dab049376676793d9f24161edbf79349e46af","historical","4990ba4","https://media.lbsa71.net/LCE/runs/phase3_scaling_stage_b_r889_v1/full_curve_analysis.json"
"runs/phase3_scaling_stage_b_r889_v1/results.json","docs/evidence/records/phase3_scaling_stage_b_r889_v1/results.json","13964","dc9107875d803f573f4d8a22fe74da4daea53b4ba777994d632822e2f9cd35a4","historical","4990ba4","https://media.lbsa71.net/LCE/runs/phase3_scaling_stage_b_r889_v1/results.json"
"runs/phase4_bottleneck_screen_v1/failure_audit_records.json","docs/evidence/records/phase4_bottleneck_screen_v1/failure_audit_records.json","301029","03749a68854e345077e76c87883e53883bf36622abf31078adcebc92130204a7","historical","4990ba4","https://media.lbsa71.net/LCE/runs/phase4_bottleneck_screen_v1/failure_audit_records.json"
"runs/phase4_bottleneck_screen_v1/failure_audit.json","docs/evidence/records/phase4_bottleneck_screen_v1/failure_audit.json","119913","1d5c900f26aa7c82196e275d3d94d90a5097573cbccc40654b681d6b260602d4","historical","4990ba4","https://media.lbsa71.net/LCE/runs/phase4_bottleneck_screen_v1/failure_audit.json"
"runs/phase4_bottleneck_screen_v1/registration.json","docs/evidence/records/phase4_bottleneck_screen_v1/registration.json","979","2211cdd6453df1993b1a7d06f00b0ee0a1a8c55b36965cfe0c1b3114fe388c16","historical","4990ba4","https://media.lbsa71.net/LCE/runs/phase4_bottleneck_screen_v1/registration.json"
"runs/phase4_bottleneck_screen_v1/screen_analysis.json","docs/evidence/records/phase4_bottleneck_screen_v1/screen_analysis.json","4696","7be5d744916395d8fcfe944b05000a9e7c04475ad991b4760746e4e7b1f98f82","historical","4990ba4","https://media.lbsa71.net/LCE/runs/phase4_bottleneck_screen_v1/screen_analysis.json"
"runs/phase4_bottleneck_screen_v1/screen_results.json","docs/evidence/records/phase4_bottleneck_screen_v1/screen_results.json","41210","eb155c620947ca3adbcc26c2b8b7413a254ed1898c98bf8d4d30733e4e6fd284","historical","4990ba4","https://media.lbsa71.net/LCE/runs/phase4_bottleneck_screen_v1/screen_results.json"
"runs/phase4_bottleneck_screen_v1/split_manifest.json","docs/evidence/records/phase4_bottleneck_screen_v1/split_manifest.json","465","9023350327cfe09be685a7c59f1f808b936c79d5f18e68cc03355f929270dd8b","historical","4990ba4","https://media.lbsa71.net/LCE/runs/phase4_bottleneck_screen_v1/split_manifest.json"
"runs/phase4_stageb_factorial_v1/case_predictions.json","docs/evidence/records/phase4_stageb_factorial_v1/case_predictions.json","966129","21b91032e60ba01d06d012153050368b9faef9de09d61ab6a6a33cfa9a0510c0","historical","4990ba4","https://media.lbsa71.net/LCE/runs/phase4_stageb_factorial_v1/case_predictions.json"
"runs/phase4_stageb_factorial_v1/frozen_probe_audit.json","docs/evidence/records/phase4_stageb_factorial_v1/frozen_probe_audit.json","15001","e8eb7a9da8ed5475c500ce040398e2856cb607569a2822802a5821c0a1ec2e36","historical","4990ba4","https://media.lbsa71.net/LCE/runs/phase4_stageb_factorial_v1/frozen_probe_audit.json"
"runs/phase4_stageb_factorial_v1/frozen_probe_records.json","docs/evidence/records/phase4_stageb_factorial_v1/frozen_probe_records.json","871774","31acc19af0745bf3402d05b29a6c530419508b9c24c60ef372e46a2d444f383f","historical","4990ba4","https://media.lbsa71.net/LCE/runs/phase4_stageb_factorial_v1/frozen_probe_records.json"
"runs/phase4_stageb_factorial_v1/registration.json","docs/evidence/records/phase4_stageb_factorial_v1/registration.json","1916","06ca79c9a281714e31fc64b49ba9df9bbdc4eaa33dcaaf3487a57312b031df98","historical","4990ba4","https://media.lbsa71.net/LCE/runs/phase4_stageb_factorial_v1/registration.json"
"runs/phase4_stageb_factorial_v1/screen_analysis.json","docs/evidence/records/phase4_stageb_factorial_v1/screen_analysis.json","10597","054127771c1a6e113a4ffc72ba20161b12f4864f61d5f0dcfa4d9fe088f997e9","historical","4990ba4","https://media.lbsa71.net/LCE/runs/phase4_stageb_factorial_v1/screen_analysis.json"
"runs/phase4_stageb_factorial_v1/screen_results.json","docs/evidence/records/phase4_stageb_factorial_v1/screen_results.json","55787","8493c32940f7412f56b1c873785b42bafee956077d04fb9769215dde49e8d836","historical","4990ba4","https://media.lbsa71.net/LCE/runs/phase4_stageb_factorial_v1/screen_results.json"
"runs/phase4_stageb_factorial_v1/split_manifests.json","docs/evidence/records/phase4_stageb_factorial_v1/split_manifests.json","1101","4f573cd8df8c940f5691a2adfbe061bf53a9fd3dc4d8b505ad75fac541562596","historical","4990ba4","https://media.lbsa71.net/LCE/runs/phase4_stageb_factorial_v1/split_manifests.json"
"runs/phase4_stagec_invariance_v1/case_predictions.json","docs/evidence/records/phase4_stagec_invariance_v1/case_predictions.json","779112","73b2e3536a00ffd906d1e4522b8c3f94b2896f4fddfe66b73d604b130a8918ab","historical","4990ba4","https://media.lbsa71.net/LCE/runs/phase4_stagec_invariance_v1/case_predictions.json"
"runs/phase4_stagec_invariance_v1/consistency_025/seed_17/metrics.json","docs/evidence/records/phase4_stagec_invariance_v1/consistency_025/seed_17/metrics.json","2455","34727d5fd4d2d9250a131c38434a737bd1a455992d31a5c7553776cc92de3b06","historical","4990ba4","https://media.lbsa71.net/LCE/runs/phase4_stagec_invariance_v1/consistency_025/seed_17/metrics.json"
"runs/phase4_stagec_invariance_v1/consistency_025/seed_17/step_metrics.csv","docs/evidence/records/phase4_stagec_invariance_v1/consistency_025/seed_17/step_metrics.csv","198274","874bfffb1f26325b37ecc31b7751ede7a6e0ab211efed2a75d545984cd34db5a","historical","4990ba4","https://media.lbsa71.net/LCE/runs/phase4_stagec_invariance_v1/consistency_025/seed_17/step_metrics.csv"
"runs/phase4_stagec_invariance_v1/consistency_025/seed_29/metrics.json","docs/evidence/records/phase4_stagec_invariance_v1/consistency_025/seed_29/metrics.json","2455","5b9025ff127e616f388fb468dbb7393a2bcc656814f0264d56f5bea1e28506b3","historical","4990ba4","https://media.lbsa71.net/LCE/runs/phase4_stagec_invariance_v1/consistency_025/seed_29/metrics.json"
"runs/phase4_stagec_invariance_v1/consistency_025/seed_29/step_metrics.csv","docs/evidence/records/phase4_stagec_invariance_v1/consistency_025/seed_29/step_metrics.csv","197267","d92e6958c0fd6cf27106e9a72217ad5e64edf0801f5a305b738d231d2a6642ba","historical","4990ba4","https://media.lbsa71.net/LCE/runs/phase4_stagec_invariance_v1/consistency_025/seed_29/step_metrics.csv"
"runs/phase4_stagec_invariance_v1/consistency_025/seed_41/metrics.json","docs/evidence/records/phase4_stagec_invariance_v1/consistency_025/seed_41/metrics.json","2444","c6dbaad794386d384262a24c9fe655d57ea5907dc0a46149c63e28006b7c9a68","historical","4990ba4","https://media.lbsa71.net/LCE/runs/phase4_stagec_invariance_v1/consistency_025/seed_41/metrics.json"
"runs/phase4_stagec_invariance_v1/consistency_025/seed_41/step_metrics.csv","docs/evidence/records/phase4_stagec_invariance_v1/consistency_025/seed_41/step_metrics.csv","197875","cd614fcfa1cd338e73465fcb2fe141bf5bebb1537d5b3b30cfbd9280b588b4a7","historical","4990ba4","https://media.lbsa71.net/LCE/runs/phase4_stagec_invariance_v1/consistency_025/seed_41/step_metrics.csv"
"runs/phase4_stagec_invariance_v1/consistency_025/seed_53/metrics.json","docs/evidence/records/phase4_stagec_invariance_v1/consistency_025/seed_53/metrics.json","2448","5e9d01d6e27c95a02e411622ede5fda49cb22ee1cc50fab7d3076ee5bc8e5ed1","historical","4990ba4","https://media.lbsa71.net/LCE/runs/phase4_stagec_invariance_v1/consistency_025/seed_53/metrics.json"
"runs/phase4_stagec_invariance_v1/consistency_025/seed_53/step_metrics.csv","docs/evidence/records/phase4_stagec_invariance_v1/consistency_025/seed_53/step_metrics.csv","197115","4a9915c485b5a4283b8496dd6f20e02b9500b39371c59a0655ed6f148de52f9f","historical","4990ba4","https://media.lbsa71.net/LCE/runs/phase4_stagec_invariance_v1/consistency_025/seed_53/step_metrics.csv"
"runs/phase4_stagec_invariance_v1/consistency_025/seed_67/metrics.json","docs/evidence/records/phase4_stagec_invariance_v1/consistency_025/seed_67/metrics.json","2461","04157912f2ff9c2ad46f196f7b1cdfe3cef2dcc8bf361695fa7cadb58f93dbf7","historical","4990ba4","https://media.lbsa71.net/LCE/runs/phase4_stagec_invariance_v1/consistency_025/seed_67/metrics.json"
"runs/phase4_stagec_invariance_v1/consistency_025/seed_67/step_metrics.csv","docs/evidence/records/phase4_stagec_invariance_v1/consistency_025/seed_67/step_metrics.csv","196973","e66449044c07920de867b05b9d98a85d9d7ed7d15ae8d3c70966d30a404beeb2","historical","4990ba4","https://media.lbsa71.net/LCE/runs/phase4_stagec_invariance_v1/consistency_025/seed_67/step_metrics.csv"
"runs/phase4_stagec_invariance_v1/consistency_1/seed_17/metrics.json","docs/evidence/records/phase4_stagec_invariance_v1/consistency_1/seed_17/metrics.json","2452","9b1e965d4e2622d714d6611e4719cd44b7b0534f2d6409f7e38381bf08a8ae8d","historical","4990ba4","https://media.lbsa71.net/LCE/runs/phase4_stagec_invariance_v1/consistency_1/seed_17/metrics.json"
"runs/phase4_stagec_invariance_v1/consistency_1/seed_17/step_metrics.csv","docs/evidence/records/phase4_stagec_invariance_v1/consistency_1/seed_17/step_metrics.csv","198006","164a0f8956dff1fe69844a46f80017d6d1d1936bfc688b98999115b6666e5cd4","historical","4990ba4","https://media.lbsa71.net/LCE/runs/phase4_stagec_invariance_v1/consistency_1/seed_17/step_metrics.csv"
"runs/phase4_stagec_invariance_v1/consistency_1/seed_29/metrics.json","docs/evidence/records/phase4_stagec_invariance_v1/consistency_1/seed_29/metrics.json","2454","1f1b17e46980ceb9a355b296330e4a9e71729ade80a653cb642027f167355302","historical","4990ba4","https://media.lbsa71.net/LCE/runs/phase4_stagec_invariance_v1/consistency_1/seed_29/metrics.json"
"runs/phase4_stagec_invariance_v1/consistency_1/seed_29/step_metrics.csv","docs/evidence/records/phase4_stagec_invariance_v1/consistency_1/seed_29/step_metrics.csv","198170","fcb6fb271096634a0690eac6a788b18226dfbf6e62c481461065578d88250d18","historical","4990ba4","https://media.lbsa71.net/LCE/runs/phase4_stagec_invariance_v1/consistency_1/seed_29/step_metrics.csv"
"runs/phase4_stagec_invariance_v1/consistency_1/seed_41/metrics.json","docs/evidence/records/phase4_stagec_invariance_v1/consistency_1/seed_41/metrics.json","2446","43c71ef3042340a7d4fe59dd5a6a1c1515a2b10873d8497c50290f62e17493dd","historical","4990ba4","https://media.lbsa71.net/LCE/runs/phase4_stagec_invariance_v1/consistency_1/seed_41/metrics.json"
"runs/phase4_stagec_invariance_v1/consistency_1/seed_41/step_metrics.csv","docs/evidence/records/phase4_stagec_invariance_v1/consistency_1/seed_41/step_metrics.csv","198213","db84d8a345eb1d4cf86197cbe341c90f35f2b205e6bf4a5445cbbc47262955e8","historical","4990ba4","https://media.lbsa71.net/LCE/runs/phase4_stagec_invariance_v1/consistency_1/seed_41/step_metrics.csv"
"runs/phase4_stagec_invariance_v1/consistency_1/seed_53/metrics.json","docs/evidence/records/phase4_stagec_invariance_v1/consistency_1/seed_53/metrics.json","2452","5ea8e02420deac36d30859a3c937396ec3cfc68775a543f77aa1f999666027ad","historical","4990ba4","https://media.lbsa71.net/LCE/runs/phase4_stagec_invariance_v1/consistency_1/seed_53/metrics.json"
"runs/phase4_stagec_invariance_v1/consistency_1/seed_53/step_metrics.csv","docs/evidence/records/phase4_stagec_invariance_v1/consistency_1/seed_53/step_metrics.csv","198140","81581c7a69fade8d5b661a1a7130ddbd48ce73588945788d0d00e8fd7924f01e","historical","4990ba4","https://media.lbsa71.net/LCE/runs/phase4_stagec_invariance_v1/consistency_1/seed_53/step_metrics.csv"
"runs/phase4_stagec_invariance_v1/consistency_1/seed_67/metrics.json","docs/evidence/records/phase4_stagec_invariance_v1/consistency_1/seed_67/metrics.json","2465","ce4c8a6e80004c197626476b8dd882fec96afd719bdfbbbf9d5beefe95d145a8","historical","4990ba4","https://media.lbsa71.net/LCE/runs/phase4_stagec_invariance_v1/consistency_1/seed_67/metrics.json"
"runs/phase4_stagec_invariance_v1/consistency_1/seed_67/step_metrics.csv","docs/evidence/records/phase4_stagec_invariance_v1/consistency_1/seed_67/step_metrics.csv","198031","8b7bdd58a1c57a0ca0dbe50e2f2621c985192f726bf7a9d7accf257f4cf12cf5","historical","4990ba4","https://media.lbsa71.net/LCE/runs/phase4_stagec_invariance_v1/consistency_1/seed_67/step_metrics.csv"
"runs/phase4_stagec_invariance_v1/development_suite.json","docs/evidence/records/phase4_stagec_invariance_v1/development_suite.json","23105","4b0596cff25e8e0e899e568d3280baf7b751e26d3ecab5ee0cc3775c239d71a7","historical","4990ba4","https://media.lbsa71.net/LCE/runs/phase4_stagec_invariance_v1/development_suite.json"
"runs/phase4_stagec_invariance_v1/pair_manifest.json","docs/evidence/records/phase4_stagec_invariance_v1/pair_manifest.json","64398","2e203d907534c21d677ff8a398bc9d7d28c25b3919f2ad8bf32bb0c7a1cb4bee","historical","4990ba4","https://media.lbsa71.net/LCE/runs/phase4_stagec_invariance_v1/pair_manifest.json"
"runs/phase4_stagec_invariance_v1/registration.json","docs/evidence/records/phase4_stagec_invariance_v1/registration.json","1146","b0305c23e9704e50ffde126389fe279d5fce0585e51e1534dbea5a4a1185213c","historical","4990ba4","https://media.lbsa71.net/LCE/runs/phase4_stagec_invariance_v1/registration.json"
"runs/phase4_stagec_invariance_v1/screen_analysis.json","docs/evidence/records/phase4_stagec_invariance_v1/screen_analysis.json","7404","d0cb12f2764b8e6faa2e73fdfcadd8920a5bb00962d6e5b42322c63091814600","historical","4990ba4","https://media.lbsa71.net/LCE/runs/phase4_stagec_invariance_v1/screen_analysis.json"
