step,elapsed_ms,loss,lr,tokens,tokens_per_sec,timestamp
1,22.564,1.229832,3.13e-06,2048,90765.26,1787804254.091
2,17.625,1.257174,6.25e-06,2048,116195.94,1787804254.109
3,17.604,1.239285,9.37e-06,2048,116338.52,1787804254.126
4,18.768,1.346911,1.25e-05,2048,109123.07,1787804254.145
5,15.596,1.289363,1.563e-05,2048,131313.2,1787804254.161
6,14.867,1.406812,1.875e-05,2048,137755.69,1787804254.176
7,15.131,1.271995,2.187e-05,2048,135349.48,1787804254.191
8,18.73,1.30243,2.5e-05,2048,109343.3,1787804254.211
9,15.09,1.252451,2.813e-05,2048,135720.82,1787804254.226
10,14.897,1.256814,3.125e-05,2048,137481.04,1787804254.241
11,14.17,1.307048,3.438e-05,2048,144526.62,1787804254.255
12,14.654,1.331025,3.75e-05,2048,139754.2,1787804254.27
13,14.523,1.280464,4.063e-05,2048,141021.58,1787804254.285
14,15.133,1.197082,4.375e-05,2048,135336.06,1787804254.3
15,14.72,1.234957,4.688e-05,2048,139134.22,1787804254.315
16,14.976,1.21709,5e-05,2048,136747.57,1787804254.33
17,14.65,1.242819,5.312e-05,2048,139791.4,1787804254.345
18,14.779,1.254847,5.625e-05,2048,138575.0,1787804254.36
19,17.623,1.210296,5.937e-05,2048,116213.75,1787804254.378
20,15.577,1.169484,6.25e-05,2048,131475.05,1787804254.394
21,17.574,1.208559,6.563e-05,2048,116537.12,1787804254.41
22,20.616,1.113694,6.875e-05,2048,99339.84,1787804254.432
23,22.104,1.200423,7.187e-05,2048,92653.75,1787804254.454
24,16.098,1.166907,7.5e-05,2048,127216.82,1787804254.47
25,15.317,1.292396,7.813e-05,2048,133707.65,1787804254.485
26,15.735,1.145794,8.125e-05,2048,130156.53,1787804254.501
27,15.564,1.113435,8.438e-05,2048,131586.56,1787804254.517
28,17.851,1.066351,8.75e-05,2048,114729.39,1787804254.535
29,16.98,1.382065,9.062e-05,2048,120610.35,1787804254.553
30,18.088,1.13009,9.375e-05,2048,113224.24,1787804254.571
31,15.414,1.208295,9.688e-05,2048,132862.78,1787804254.587
32,16.542,1.282063,0.0001,2048,123806.07,1787804254.603
33,17.153,1.164923,0.00010312,2048,119392.54,1787804254.621
34,20.926,1.111427,0.00010625,2048,97866.81,1787804254.642
35,15.664,1.129939,0.00010938,2048,130747.33,1787804254.658
36,15.567,1.118088,0.0001125,2048,131559.51,1787804254.673
37,15.651,1.297674,0.00011563,2048,130855.93,1787804254.689
38,16.471,1.365703,0.00011875,2048,124336.73,1787804254.706
39,17.999,0.987748,0.00012187,2048,113782.2,1787804254.724
40,15.262,1.173453,0.000125,2048,134193.01,1787804254.74
41,15.699,1.400365,0.00012812,2048,130455.83,1787804254.755
42,16.032,0.956515,0.00013125,2048,127747.7,1787804254.772
43,15.828,1.099505,0.00013438,2048,129387.68,1787804254.788
44,15.561,1.063004,0.0001375,2048,131606.85,1787804254.803
45,18.921,1.060138,0.00014063,2048,108237.23,1787804254.822
46,15.609,0.996367,0.00014375,2048,131202.99,1787804254.838
47,15.727,1.006535,0.00014688,2048,130222.74,1787804254.854
48,15.596,0.946023,0.00015,2048,131315.72,1787804254.87
49,15.531,0.940921,0.00015313,2048,131862.75,1787804254.886
50,15.354,0.939918,0.00015625,2048,133389.78,1787804254.901
51,20.004,1.19577,0.00015937,2048,102380.04,1787804254.921
52,19.469,0.972989,0.0001625,2048,105193.95,1787804254.941
53,15.687,0.898418,0.00016563,2048,130552.3,1787804254.957
54,16.754,0.839015,0.00016875,2048,122240.19,1787804254.974
55,15.251,0.96971,0.00017187,2048,134288.92,1787804254.989
56,16.631,0.87568,0.000175,2048,123140.57,1787804255.006
57,20.474,0.989237,0.00017813,2048,100029.79,1787804255.027
58,22.245,0.9177,0.00018125,2048,92063.98,1787804255.049
59,17.006,0.883661,0.00018438,2048,120431.62,1787804255.066
60,15.609,0.852565,0.0001875,2048,131208.04,1787804255.082
61,15.302,0.88529,0.00019062,2048,133841.34,1787804255.098
62,16.867,0.741273,0.00019375,2048,121419.09,1787804255.115
63,20.446,0.663163,0.00019688,2048,100166.29,1787804255.135
64,19.739,0.603783,0.0002,2048,103752.41,1787804255.155
65,15.21,0.762569,0.00020313,2048,134645.6,1787804255.17
66,15.856,0.958607,0.00020625,2048,129164.09,1787804255.186
67,15.372,1.357373,0.00020938,2048,133226.65,1787804255.202
68,17.311,0.66597,0.0002125,2048,118305.6,1787804255.219
69,17.138,0.669023,0.00021563,2048,119497.04,1787804255.237
70,27.579,0.894131,0.00021875,2048,74259.67,1787804255.265
71,28.042,0.708824,0.00022187,2048,73032.79,1787804255.293
