step,elapsed_ms,loss,lr,tokens,tokens_per_sec,timestamp
1,188.39,1.199464,3.13e-06,2048,10871.08,1787762443.643
2,159.805,1.285349,6.25e-06,2048,12815.64,1787762443.804
3,147.412,1.27211,9.37e-06,2048,13893.04,1787762443.952
4,158.488,1.247907,1.25e-05,2048,12922.1,1787762444.113
5,140.372,1.244545,1.563e-05,2048,14589.81,1787762444.255
6,171.129,1.20682,1.875e-05,2048,11967.58,1787762444.427
7,132.288,1.270758,2.187e-05,2048,15481.32,1787762444.561
8,134.189,1.332836,2.5e-05,2048,15262.09,1787762444.696
9,114.604,1.271925,2.813e-05,2048,17870.29,1787762444.811
10,132.106,1.257555,3.125e-05,2048,15502.66,1787762444.945
11,128.649,1.321966,3.438e-05,2048,15919.31,1787762445.075
12,104.569,1.273001,3.75e-05,2048,19585.21,1787762445.18
13,110.239,1.21392,4.063e-05,2048,18577.85,1787762445.292
14,97.119,1.253742,4.375e-05,2048,21087.6,1787762445.39
15,75.067,1.210119,4.688e-05,2048,27282.26,1787762445.466
16,94.439,1.249939,5e-05,2048,21686.02,1787762445.561
17,107.295,1.207885,5.312e-05,2048,19087.62,1787762445.669
18,85.615,1.221717,5.625e-05,2048,23920.93,1787762445.755
19,108.822,1.16591,5.937e-05,2048,18819.78,1787762445.866
20,119.821,1.209112,6.25e-05,2048,17092.22,1787762445.986
21,129.065,1.121296,6.563e-05,2048,15867.91,1787762446.116
22,127.763,1.054629,6.875e-05,2048,16029.68,1787762446.245
23,108.51,1.188967,7.187e-05,2048,18873.85,1787762446.355
24,134.095,1.228489,7.5e-05,2048,15272.71,1787762446.49
25,108.706,1.297907,7.813e-05,2048,18839.84,1787762446.599
26,94.102,1.137683,8.125e-05,2048,21763.6,1787762446.694
27,98.103,1.229182,8.438e-05,2048,20875.93,1787762446.793
28,103.249,1.118179,8.75e-05,2048,19835.54,1787762446.898
29,137.208,1.23529,9.062e-05,2048,14926.23,1787762447.036
30,137.626,1.187845,9.375e-05,2048,14880.86,1787762447.174
31,137.27,1.041681,9.688e-05,2048,14919.53,1787762447.313
32,115.172,1.061073,0.0001,2048,17782.18,1787762447.429
33,145.118,1.080633,0.00010312,2048,14112.61,1787762447.576
34,165.264,1.009672,0.00010625,2048,12392.26,1787762447.742
35,161.514,1.110755,0.00010938,2048,12680.01,1787762447.905
36,144.111,1.184444,0.0001125,2048,14211.29,1787762448.051
37,169.581,0.931072,0.00011563,2048,12076.81,1787762448.222
38,117.221,1.073107,0.00011875,2048,17471.23,1787762448.341
39,119.323,1.056156,0.00012187,2048,17163.57,1787762448.461
40,116.884,1.084971,0.000125,2048,17521.59,1787762448.579
41,107.278,0.983779,0.00012812,2048,19090.5,1787762448.687
42,125.561,1.123203,0.00013125,2048,16310.8,1787762448.814
43,133.365,0.952483,0.00013438,2048,15356.36,1787762448.948
44,145.216,0.838117,0.0001375,2048,14103.15,1787762449.094
45,161.407,0.976858,0.00014063,2048,12688.38,1787762449.257
46,179.926,0.892694,0.00014375,2048,11382.43,1787762449.439
47,158.805,0.97758,0.00014688,2048,12896.36,1787762449.599
48,136.825,1.04757,0.00015,2048,14968.01,1787762449.738
49,152.023,1.065037,0.00015313,2048,13471.65,1787762449.89
50,153.949,0.866247,0.00015625,2048,13303.12,1787762450.046
51,127.663,0.7141,0.00015937,2048,16042.29,1787762450.176
52,120.518,0.726926,0.0001625,2048,16993.35,1787762450.297
53,139.495,0.801074,0.00016563,2048,14681.58,1787762450.438
54,128.062,1.121684,0.00016875,2048,15992.22,1787762450.566
55,187.283,0.934646,0.00017187,2048,10935.34,1787762450.756
56,170.993,0.854011,0.000175,2048,11977.12,1787762450.929
57,177.418,0.961346,0.00017813,2048,11543.38,1787762451.108
58,184.969,0.818492,0.00018125,2048,11072.14,1787762451.294
59,174.32,0.65889,0.00018438,2048,11748.53,1787762451.47
60,184.407,0.81594,0.0001875,2048,11105.88,1787762451.656
61,199.505,0.649137,0.00019062,2048,10265.4,1787762451.857
62,179.087,0.821907,0.00019375,2048,11435.76,1787762452.038
63,174.959,0.681256,0.00019688,2048,11705.63,1787762452.215
64,146.657,1.189078,0.0002,2048,13964.53,1787762452.363
65,154.383,0.711239,0.00020313,2048,13265.74,1787762452.518
66,191.224,0.695531,0.00020625,2048,10709.97,1787762452.711
67,170.194,0.841568,0.00020938,2048,12033.31,1787762452.883
68,157.012,0.886425,0.0002125,2048,13043.62,1787762453.042
69,144.153,0.583153,0.00021563,2048,14207.15,1787762453.187
70,152.339,0.611287,0.00021875,2048,13443.7,1787762453.342
71,169.2,0.686596,0.00022187,2048,12104.02,1787762453.511
72,179.077,0.688631,0.000225,2048,11436.41,1787762453.692
73,162.759,0.61772,0.00022813,2048,12583.04,1787762453.857
74,143.123,0.538671,0.00023125,2048,14309.39,1787762454.001
75,159.811,0.667102,0.00023437,2048,12815.16,1787762454.163
76,169.854,0.860968,0.0002375,2048,12057.44,1787762454.334
77,209.041,0.507844,0.00024063,2048,9797.11,1787762454.544
78,161.089,0.502714,0.00024375,2048,12713.46,1787762454.708
79,138.558,0.532411,0.00024688,2048,14780.76,1787762454.847
80,137.066,0.569183,0.00025,2048,14941.72,1787762454.985
81,208.538,0.51132,0.00025312,2048,9820.76,1787762455.196
82,179.756,0.417869,0.00025625,2048,11393.19,1787762455.378
83,180.916,0.448328,0.00025938,2048,11320.19,1787762455.56
84,150.647,0.664785,0.0002625,2048,13594.69,1787762455.712
85,122.986,0.518047,0.00026563,2048,16652.29,1787762455.836
86,119.396,0.388937,0.00026875,2048,17152.99,1787762455.957
87,141.658,0.388419,0.00027187,2048,14457.31,1787762456.099
88,137.155,0.623957,0.000275,2048,14932.04,1787762456.239
89,122.766,0.470434,0.00027812,2048,16682.08,1787762456.363
90,180.389,0.498932,0.00028125,2048,11353.26,1787762456.545
91,134.523,0.624775,0.00028438,2048,15224.16,1787762456.682
92,198.242,0.486495,0.0002875,2048,10330.79,1787762456.882
93,164.987,0.407456,0.00029063,2048,12413.12,1787762457.048
94,158.743,0.330354,0.00029375,2048,12901.4,1787762457.209
95,185.489,0.376447,0.00029687,2048,11041.09,1787762457.396
96,176.076,0.427499,0.0003,2048,11631.36,1787762457.574
97,122.869,0.406428,0.00030313,2048,16668.13,1787762457.698
98,122.872,0.295771,0.00030625,2048,16667.79,1787762457.821
99,106.742,0.31671,0.00030938,2048,19186.36,1787762457.929
100,118.532,0.302658,0.0003125,2048,17278.05,1787762458.048
101,102.405,0.270994,0.00031562,2048,19998.95,1787762458.153
102,97.118,0.268048,0.00031875,2048,21087.77,1787762458.25
103,106.165,0.282805,0.00032188,2048,19290.65,1787762458.357
104,132.357,0.260625,0.000325,2048,15473.31,1787762458.491
105,132.773,0.256022,0.00032813,2048,15424.85,1787762458.625
106,126.373,0.250893,0.00033125,2048,16206.02,1787762458.753
107,148.979,0.240029,0.00033437,2048,13746.88,1787762458.903
108,145.6,0.222204,0.0003375,2048,14065.94,1787762459.05
109,147.236,0.206762,0.00034062,2048,13909.69,1787762459.199
110,119.287,0.214648,0.00034375,2048,17168.61,1787762459.319
111,143.416,0.192315,0.00034688,2048,14280.17,1787762459.465
112,121.186,0.20944,0.00035,2048,16899.63,1787762459.588
113,139.124,0.204258,0.00035313,2048,14720.66,1787762459.728
114,113.275,0.195806,0.00035625,2048,18079.94,1787762459.842
115,114.992,0.201296,0.00035937,2048,17809.87,1787762459.957
116,114.068,0.193514,0.0003625,2048,17954.17,1787762460.072
117,110.348,0.167236,0.00036563,2048,18559.43,1787762460.184
118,91.971,0.171392,0.00036875,2048,22267.96,1787762460.278
119,91.064,0.194904,0.00037188,2048,22489.78,1787762460.368
120,105.169,0.181956,0.000375,2048,19473.49,1787762460.476
121,103.015,0.170561,0.00037812,2048,19880.64,1787762460.58
122,125.448,0.193338,0.00038125,2048,16325.49,1787762460.707
123,115.978,0.148445,0.00038438,2048,17658.49,1787762460.825
124,192.481,0.165341,0.0003875,2048,10640.01,1787762461.019
125,143.248,0.143393,0.00039063,2048,14296.93,1787762461.165
126,121.451,0.137554,0.00039375,2048,16862.82,1787762461.287
127,118.523,0.1399,0.00039687,2048,17279.36,1787762461.406
128,104.573,0.258701,0.0004,2048,19584.44,1787762461.512
129,121.398,0.452693,0.00040313,2048,16870.19,1787762461.635
130,98.913,0.17692,0.00040625,2048,20705.11,1787762461.735
131,109.13,0.148543,0.00040938,2048,18766.56,1787762461.845
132,96.18,0.141423,0.0004125,2048,21293.36,1787762461.942
133,85.085,0.164696,0.00041563,2048,24069.93,1787762462.027
134,87.688,0.175031,0.00041875,2048,23355.48,1787762462.117
135,126.889,0.140475,0.00042187,2048,16140.12,1787762462.245
136,127.801,0.117671,0.000425,2048,16024.86,1787762462.373
