step,elapsed_ms,loss,lr,tokens,tokens_per_sec,timestamp
1,17.123,1.319968,3.13e-06,2048,119603.81,1787804310.207
2,16.393,1.266636,6.25e-06,2048,124929.09,1787804310.224
3,19.5,1.322558,9.37e-06,2048,105027.26,1787804310.244
4,17.882,1.324461,1.25e-05,2048,114531.14,1787804310.262
5,16.164,1.254414,1.563e-05,2048,126700.53,1787804310.277
6,16.518,1.32802,1.875e-05,2048,123984.45,1787804310.294
7,19.351,1.227393,2.187e-05,2048,105831.59,1787804310.314
8,18.029,1.347255,2.5e-05,2048,113595.39,1787804310.332
9,17.027,1.276673,2.813e-05,2048,120279.56,1787804310.349
10,13.764,1.215435,3.125e-05,2048,148790.71,1787804310.364
11,15.796,1.260223,3.438e-05,2048,129649.79,1787804310.38
12,15.059,1.240398,3.75e-05,2048,136001.12,1787804310.395
13,14.724,1.249532,4.063e-05,2048,139090.75,1787804310.41
14,15.322,1.21327,4.375e-05,2048,133664.01,1787804310.425
15,16.002,1.227736,4.688e-05,2048,127983.2,1787804310.441
16,22.327,1.233278,5e-05,2048,91726.68,1787804310.464
17,15.361,1.231609,5.312e-05,2048,133327.26,1787804310.479
18,15.374,1.211953,5.625e-05,2048,133216.25,1787804310.495
19,19.78,1.2326,5.937e-05,2048,103536.83,1787804310.515
20,17.684,1.142746,6.25e-05,2048,115810.9,1787804310.533
21,17.907,1.141625,6.563e-05,2048,114367.41,1787804310.551
22,17.329,1.244501,6.875e-05,2048,118181.35,1787804310.568
23,16.261,1.213687,7.187e-05,2048,125943.19,1787804310.584
24,14.931,1.099706,7.5e-05,2048,137167.05,1787804310.599
25,15.071,1.285017,7.813e-05,2048,135890.12,1787804310.615
26,18.829,1.128411,8.125e-05,2048,108768.97,1787804310.634
27,23.228,1.222991,8.438e-05,2048,88169.07,1787804310.657
28,14.331,1.150784,8.75e-05,2048,142904.99,1787804310.672
29,15.711,1.107587,9.062e-05,2048,130353.7,1787804310.687
30,29.315,1.113587,9.375e-05,2048,69862.08,1787804310.717
31,21.912,1.145356,9.688e-05,2048,93464.34,1787804310.739
32,15.634,0.993737,0.0001,2048,130993.19,1787804310.755
33,14.715,1.105505,0.00010312,2048,139173.93,1787804310.769
34,14.57,1.128696,0.00010625,2048,140563.77,1787804310.784
35,14.145,1.063973,0.00010938,2048,144791.26,1787804310.799
36,21.062,0.955848,0.0001125,2048,97236.73,1787804310.82
37,20.92,0.982463,0.00011563,2048,97895.81,1787804310.841
