step,elapsed_ms,loss,lr,tokens,tokens_per_sec,timestamp
1,258.53,1.298387,3.13e-06,2048,7921.72,1787804136.015
2,21.938,1.243761,6.25e-06,2048,93353.15,1787804136.037
3,19.574,1.221116,9.37e-06,2048,104628.59,1787804136.057
4,19.212,1.286869,1.25e-05,2048,106600.6,1787804136.077
5,19.36,1.39349,1.563e-05,2048,105785.67,1787804136.096
6,19.922,1.280883,1.875e-05,2048,102803.5,1787804136.115
7,19.635,1.334661,2.187e-05,2048,104304.07,1787804136.135
8,18.456,1.28395,2.5e-05,2048,110969.03,1787804136.154
9,19.066,1.229741,2.813e-05,2048,107417.47,1787804136.173
10,18.498,1.223455,3.125e-05,2048,110712.88,1787804136.192
11,18.656,1.29857,3.438e-05,2048,109775.84,1787804136.211
12,19.296,1.279635,3.75e-05,2048,106135.99,1787804136.231
13,19.083,1.221362,4.063e-05,2048,107318.96,1787804136.25
14,19.106,1.263727,4.375e-05,2048,107190.34,1787804136.269
15,20.155,1.293744,4.688e-05,2048,101612.5,1787804136.29
16,23.651,1.280155,5e-05,2048,86593.63,1787804136.313
17,19.597,1.261401,5.312e-05,2048,104503.66,1787804136.333
18,34.251,1.246652,5.625e-05,2048,59793.7,1787804136.368
19,19.251,1.198326,5.937e-05,2048,106384.64,1787804136.387
20,19.374,1.24556,6.25e-05,2048,105711.41,1787804136.406
21,21.079,1.205068,6.563e-05,2048,97159.69,1787804136.428
22,21.833,1.193855,6.875e-05,2048,93802.53,1787804136.451
23,20.504,1.192014,7.187e-05,2048,99883.92,1787804136.471
24,27.105,1.183515,7.5e-05,2048,75558.29,1787804136.498
25,18.144,1.145865,7.813e-05,2048,112874.78,1787804136.516
26,19.182,1.194836,8.125e-05,2048,106768.99,1787804136.536
27,21.284,1.304485,8.438e-05,2048,96221.16,1787804136.558
28,19.21,1.258968,8.75e-05,2048,106612.25,1787804136.577
29,18.858,1.108016,9.062e-05,2048,108601.12,1787804136.596
30,42.728,1.171911,9.375e-05,2048,47931.21,1787804136.639
31,24.548,1.208859,9.688e-05,2048,83427.37,1787804136.664
32,20.15,1.226608,0.0001,2048,101636.71,1787804136.684
33,20.262,1.206985,0.00010312,2048,101073.41,1787804136.705
34,29.745,1.091301,0.00010625,2048,68852.6,1787804136.735
35,19.164,1.15654,0.00010938,2048,106867.6,1787804136.754
36,19.069,1.085898,0.0001125,2048,107397.75,1787804136.774
37,24.127,1.15694,0.00011563,2048,84884.86,1787804136.798
38,19.39,1.014521,0.00011875,2048,105620.91,1787804136.818
39,20.769,1.155145,0.00012187,2048,98609.45,1787804136.839
40,19.293,1.088622,0.000125,2048,106153.04,1787804136.858
41,18.234,1.097233,0.00012812,2048,112315.8,1787804136.876
42,18.739,1.224606,0.00013125,2048,109289.03,1787804136.895
43,19.059,0.988831,0.00013438,2048,107452.98,1787804136.914
44,18.716,1.007003,0.0001375,2048,109424.51,1787804136.933
45,19.829,0.91491,0.00014063,2048,103282.03,1787804136.953
46,19.745,1.072065,0.00014375,2048,103722.99,1787804136.973
47,19.265,1.051777,0.00014688,2048,106308.98,1787804136.993
48,19.892,0.942464,0.00015,2048,102957.51,1787804137.012
49,22.405,0.965293,0.00015313,2048,91406.54,1787804137.035
50,19.27,1.274537,0.00015625,2048,106281.4,1787804137.054
51,19.007,1.030483,0.00015937,2048,107748.08,1787804137.074
52,19.779,0.993952,0.0001625,2048,103542.59,1787804137.094
53,18.77,0.984869,0.00016563,2048,109111.45,1787804137.113
54,19.924,1.08797,0.00016875,2048,102789.06,1787804137.133
55,18.99,1.08648,0.00017187,2048,107846.23,1787804137.153
56,19.675,0.772411,0.000175,2048,104093.6,1787804137.172
57,18.6,1.08309,0.00017813,2048,110106.34,1787804137.191
58,22.329,1.049615,0.00018125,2048,91719.29,1787804137.214
59,18.805,0.843205,0.00018438,2048,108908.36,1787804137.232
60,18.953,1.007973,0.0001875,2048,108058.48,1787804137.251
61,19.515,0.879985,0.00019062,2048,104945.45,1787804137.271
62,19.052,0.787293,0.00019375,2048,107495.84,1787804137.29
63,16.821,0.631181,0.00019688,2048,121754.02,1787804137.307
64,17.75,0.87076,0.0002,2048,115382.88,1787804137.325
65,17.957,0.946689,0.00020313,2048,114052.77,1787804137.343
66,18.605,0.703265,0.00020625,2048,110080.3,1787804137.362
67,19.626,0.942257,0.00020938,2048,104350.84,1787804137.382
68,19.605,1.261631,0.0002125,2048,104463.15,1787804137.402
69,20.012,0.86472,0.00021563,2048,102340.13,1787804137.422
70,23.169,0.829231,0.00021875,2048,88393.59,1787804137.445
71,18.46,0.765363,0.00022187,2048,110943.78,1787804137.464
72,18.117,0.880475,0.000225,2048,113044.25,1787804137.482
73,18.28,0.716207,0.00022813,2048,112035.01,1787804137.501
74,16.885,0.832272,0.00023125,2048,121288.21,1787804137.518
75,16.176,0.618792,0.00023437,2048,126605.75,1787804137.534
76,18.667,0.710293,0.0002375,2048,109714.09,1787804137.553
77,19.637,0.783931,0.00024063,2048,104291.85,1787804137.573
78,19.876,0.879971,0.00024375,2048,103036.77,1787804137.593
79,18.989,0.753167,0.00024688,2048,107854.19,1787804137.612
80,18.929,0.651489,0.00025,2048,108192.63,1787804137.631
81,19.559,0.590215,0.00025312,2048,104707.22,1787804137.651
82,20.525,0.581657,0.00025625,2048,99782.21,1787804137.672
83,19.25,0.657508,0.00025938,2048,106389.06,1787804137.691
84,18.892,1.393996,0.0002625,2048,108407.97,1787804137.71
85,18.879,1.250594,0.00026563,2048,108478.6,1787804137.729
86,19.538,1.076909,0.00026875,2048,104820.84,1787804137.749
87,18.048,0.757714,0.00027187,2048,113477.06,1787804137.767
88,19.396,0.974085,0.000275,2048,105589.33,1787804137.787
89,18.827,0.886912,0.00027812,2048,108779.94,1787804137.807
90,19.348,0.766195,0.00028125,2048,105852.92,1787804137.825
91,19.125,0.84854,0.00028438,2048,107082.73,1787804137.845
92,19.522,0.530312,0.0002875,2048,104909.43,1787804137.864
93,20.484,0.479161,0.00029063,2048,99979.5,1787804137.886
94,19.671,0.474134,0.00029375,2048,104113.71,1787804137.905
95,20.22,0.468056,0.00029687,2048,101283.85,1787804137.926
96,16.991,0.492072,0.0003,2048,120537.24,1787804137.943
97,37.948,0.450195,0.00030313,2048,53968.02,1787804137.981
98,20.153,0.737846,0.00030625,2048,101622.08,1787804138.002
99,18.698,0.41456,0.00030938,2048,109530.43,1787804138.021
100,20.578,0.434854,0.0003125,2048,99524.73,1787804138.041
101,19.55,0.418218,0.00031562,2048,104759.18,1787804138.061
102,21.667,0.341565,0.00031875,2048,94521.19,1787804138.083
103,21.214,0.359102,0.00032188,2048,96542.3,1787804138.104
104,25.145,0.32886,0.000325,2048,81448.9,1787804138.13
105,19.123,0.399068,0.00032813,2048,107098.41,1787804138.149
106,19.808,0.297791,0.00033125,2048,103390.48,1787804138.169
107,23.012,0.286798,0.00033437,2048,88997.82,1787804138.192
108,18.607,0.289113,0.0003375,2048,110067.88,1787804138.21
109,19.319,0.433956,0.00034062,2048,106012.37,1787804138.23
110,19.422,0.330288,0.00034375,2048,105445.8,1787804138.25
111,17.363,0.623574,0.00034688,2048,117950.61,1787804138.267
112,19.42,0.275807,0.00035,2048,105461.01,1787804138.287
113,18.28,0.257746,0.00035313,2048,112034.4,1787804138.306
114,18.745,0.246845,0.00035625,2048,109256.97,1787804138.325
115,19.278,0.264137,0.00035937,2048,106233.43,1787804138.344
116,19.86,0.338338,0.0003625,2048,103121.85,1787804138.364
117,18.386,0.248382,0.00036563,2048,111390.31,1787804138.383
118,23.334,0.232415,0.00036875,2048,87768.17,1787804138.406
119,27.244,0.241235,0.00037188,2048,75173.62,1787804138.433
120,31.429,0.233871,0.000375,2048,65162.96,1787804138.465
121,31.58,1.179887,0.00037812,2048,64850.56,1787804138.497
122,27.508,0.289995,0.00038125,2048,74451.07,1787804138.525
123,26.455,0.27279,0.00038438,2048,77413.89,1787804138.551
124,17.295,0.223407,0.0003875,2048,118416.41,1787804138.569
125,22.596,0.226955,0.00039063,2048,90636.71,1787804138.592
126,18.945,0.259579,0.00039375,2048,108104.68,1787804138.611
127,19.654,0.585207,0.00039687,2048,104200.06,1787804138.631
128,19.116,0.495291,0.0004,2048,107138.19,1787804138.65
129,19.343,0.221494,0.00040313,2048,105877.55,1787804138.67
130,19.249,0.203863,0.00040625,2048,106392.93,1787804138.688
131,19.126,0.208972,0.00040938,2048,107077.13,1787804138.709
132,19.9,0.193654,0.0004125,2048,102916.64,1787804138.728
133,20.106,0.22566,0.00041563,2048,101862.67,1787804138.748
