step,elapsed_ms,loss,lr,tokens,tokens_per_sec,timestamp
90,552.908,5.275908,1.1e-05,4096,7408.1,1787636451.814
91,579.815,3.840599,1.1e-05,4096,7064.32,1787636452.394
92,651.529,7.089725,1.1e-05,4096,6286.75,1787636453.048
93,526.41,4.967038,1.1e-05,4096,7781.0,1787636453.574
94,544.86,4.952915,1.1e-05,4096,7517.52,1787636454.12
95,610.17,5.619853,1.1e-05,4096,6712.89,1787636454.731
96,739.867,5.105271,1.2e-05,4096,5536.13,1787636455.472
97,686.165,6.36163,1.2e-05,4096,5969.41,1787636456.158
98,542.014,4.047402,1.2e-05,4096,7557.0,1787636456.702
99,722.932,6.607199,1.2e-05,4096,5665.82,1787636457.425
100,602.381,4.85663,1.2e-05,4096,6799.68,1787636458.029
101,698.939,5.00507,1.2e-05,4096,5860.31,1787636458.729
102,834.269,4.319412,1.2e-05,4096,4909.69,1787636459.564
103,790.07,5.131516,1.2e-05,4096,5184.35,1787636460.355
104,798.317,4.721672,1.3e-05,4096,5130.79,1787636461.155
105,716.433,5.284681,1.3e-05,4096,5717.21,1787636461.872
106,676.178,5.39726,1.3e-05,4096,6057.57,1787636462.549
107,707.823,4.284502,1.3e-05,4096,5786.76,1787636463.258
108,557.717,4.970161,1.3e-05,4096,7344.23,1787636463.816
109,723.298,4.25414,1.3e-05,4096,5662.95,1787636464.541
110,704.53,6.706819,1.3e-05,4096,5813.81,1787636465.246
111,696.6,5.292002,1.3e-05,4096,5879.99,1787636465.944
112,593.238,4.217613,1.4e-05,4096,6904.47,1787636466.537
113,644.903,5.00372,1.4e-05,4096,6351.34,1787636467.183
114,665.771,4.828949,1.4e-05,4096,6152.27,1787636467.85
115,499.004,4.284706,1.4e-05,4096,8208.35,1787636468.351
116,451.571,6.392426,1.4e-05,4096,9070.55,1787636468.803
117,528.55,5.880073,1.4e-05,4096,7749.5,1787636469.332
118,446.026,4.531408,1.4e-05,4096,9183.32,1787636469.778
119,597.246,7.182978,1.4e-05,4096,6858.15,1787636470.377
120,656.527,4.024464,1.5e-05,4096,6238.89,1787636471.035
121,642.984,5.323649,1.5e-05,4096,6370.3,1787636471.679
122,579.351,4.916479,1.5e-05,4096,7069.98,1787636472.259
123,531.583,4.081303,1.5e-05,4096,7705.29,1787636472.791
124,456.318,4.655089,1.5e-05,4096,8976.19,1787636473.249
125,504.759,4.688678,1.5e-05,4096,8114.76,1787636473.754
126,522.782,4.805067,1.5e-05,4096,7835.0,1787636474.278
127,460.294,5.0418,1.5e-05,4096,8898.66,1787636474.739
128,706.01,4.091685,1.6e-05,4096,5801.62,1787636475.445
129,647.592,4.932345,1.6e-05,4096,6324.97,1787636476.093
130,643.77,5.805335,1.6e-05,4096,6362.52,1787636476.739
131,557.622,4.489192,1.6e-05,4096,7345.47,1787636477.297
